case_id,interaction_name,case,parameter,parameters,expected_mom_exception,executable,reason,section_refs
MOM-NEG-1516-1-2010-0001-hlamodifyattributestate-unexpected-parameter,HLAinteractionRoot.HLAmanager.HLAfederate.HLAadjust.HLAmodifyAttributeState,unexpected_parameter,,,UnexpectedMOMParameter,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0002-hlamodifyattributestate-missing-required-parameter-hlafederate,HLAinteractionRoot.HLAmanager.HLAfederate.HLAadjust.HLAmodifyAttributeState,missing_required_parameter,HLAfederate,,MissingMOMParameter,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0003-hlamodifyattributestate-missing-required-parameter-hlaobjectinstance,HLAinteractionRoot.HLAmanager.HLAfederate.HLAadjust.HLAmodifyAttributeState,missing_required_parameter,HLAobjectInstance,,MissingMOMParameter,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0004-hlamodifyattributestate-missing-required-parameter-hlaattribute,HLAinteractionRoot.HLAmanager.HLAfederate.HLAadjust.HLAmodifyAttributeState,missing_required_parameter,HLAattribute,,MissingMOMParameter,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0005-hlamodifyattributestate-missing-required-parameter-hlaattributestate,HLAinteractionRoot.HLAmanager.HLAfederate.HLAadjust.HLAmodifyAttributeState,missing_required_parameter,HLAattributeState,,MissingMOMParameter,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0006-hlamodifyattributestate-bad-handle-encoding-hlafederate,HLAinteractionRoot.HLAmanager.HLAfederate.HLAadjust.HLAmodifyAttributeState,bad_handle_encoding,HLAfederate,,InvalidMOMParameterEncoding,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0007-hlamodifyattributestate-bad-handle-encoding-hlaobjectinstance,HLAinteractionRoot.HLAmanager.HLAfederate.HLAadjust.HLAmodifyAttributeState,bad_handle_encoding,HLAobjectInstance,,InvalidMOMParameterEncoding,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0008-hlasetexceptionreporting-unexpected-parameter,HLAinteractionRoot.HLAmanager.HLAfederate.HLAadjust.HLAsetExceptionReporting,unexpected_parameter,,,UnexpectedMOMParameter,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0009-hlasetexceptionreporting-missing-required-parameter-hlafederate,HLAinteractionRoot.HLAmanager.HLAfederate.HLAadjust.HLAsetExceptionReporting,missing_required_parameter,HLAfederate,,MissingMOMParameter,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0010-hlasetexceptionreporting-missing-required-parameter-hlareportingstate,HLAinteractionRoot.HLAmanager.HLAfederate.HLAadjust.HLAsetExceptionReporting,missing_required_parameter,HLAreportingState,,MissingMOMParameter,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0011-hlasetexceptionreporting-bad-handle-encoding-hlafederate,HLAinteractionRoot.HLAmanager.HLAfederate.HLAadjust.HLAsetExceptionReporting,bad_handle_encoding,HLAfederate,,InvalidMOMParameterEncoding,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0012-hlasetexceptionreporting-bad-boolean-encoding-hlareportingstate,HLAinteractionRoot.HLAmanager.HLAfederate.HLAadjust.HLAsetExceptionReporting,bad_boolean_encoding,HLAreportingState,,InvalidMOMParameterEncoding,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0013-hlasetservicereporting-unexpected-parameter,HLAinteractionRoot.HLAmanager.HLAfederate.HLAadjust.HLAsetServiceReporting,unexpected_parameter,,,UnexpectedMOMParameter,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0014-hlasetservicereporting-missing-required-parameter-hlafederate,HLAinteractionRoot.HLAmanager.HLAfederate.HLAadjust.HLAsetServiceReporting,missing_required_parameter,HLAfederate,,MissingMOMParameter,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0015-hlasetservicereporting-missing-required-parameter-hlareportingstate,HLAinteractionRoot.HLAmanager.HLAfederate.HLAadjust.HLAsetServiceReporting,missing_required_parameter,HLAreportingState,,MissingMOMParameter,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0016-hlasetservicereporting-bad-handle-encoding-hlafederate,HLAinteractionRoot.HLAmanager.HLAfederate.HLAadjust.HLAsetServiceReporting,bad_handle_encoding,HLAfederate,,InvalidMOMParameterEncoding,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0017-hlasetservicereporting-bad-boolean-encoding-hlareportingstate,HLAinteractionRoot.HLAmanager.HLAfederate.HLAadjust.HLAsetServiceReporting,bad_boolean_encoding,HLAreportingState,,InvalidMOMParameterEncoding,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0018-hlasetswitches-unexpected-parameter,HLAinteractionRoot.HLAmanager.HLAfederate.HLAadjust.HLAsetSwitches,unexpected_parameter,,,UnexpectedMOMParameter,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0019-hlasetswitches-missing-parameter-choice,HLAinteractionRoot.HLAmanager.HLAfederate.HLAadjust.HLAsetSwitches,missing_parameter_choice,,HLAconveyRegionDesignatorSets;HLAconveyProducingFederate,MissingMOMParameterChoice,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0020-hlasetswitches-bad-handle-encoding-hlafederate,HLAinteractionRoot.HLAmanager.HLAfederate.HLAadjust.HLAsetSwitches,bad_handle_encoding,HLAfederate,,InvalidMOMParameterEncoding,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0021-hlasetswitches-bad-boolean-encoding-hlaconveyregiondesignatorsets,HLAinteractionRoot.HLAmanager.HLAfederate.HLAadjust.HLAsetSwitches,bad_boolean_encoding,HLAconveyRegionDesignatorSets,,InvalidMOMParameterEncoding,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0022-hlasetswitches-bad-boolean-encoding-hlaconveyproducingfederate,HLAinteractionRoot.HLAmanager.HLAfederate.HLAadjust.HLAsetSwitches,bad_boolean_encoding,HLAconveyProducingFederate,,InvalidMOMParameterEncoding,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0023-hlasettiming-unexpected-parameter,HLAinteractionRoot.HLAmanager.HLAfederate.HLAadjust.HLAsetTiming,unexpected_parameter,,,UnexpectedMOMParameter,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0024-hlasettiming-missing-required-parameter-hlafederate,HLAinteractionRoot.HLAmanager.HLAfederate.HLAadjust.HLAsetTiming,missing_required_parameter,HLAfederate,,MissingMOMParameter,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0025-hlasettiming-missing-required-parameter-hlareportperiod,HLAinteractionRoot.HLAmanager.HLAfederate.HLAadjust.HLAsetTiming,missing_required_parameter,HLAreportPeriod,,MissingMOMParameter,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0026-hlasettiming-bad-handle-encoding-hlafederate,HLAinteractionRoot.HLAmanager.HLAfederate.HLAadjust.HLAsetTiming,bad_handle_encoding,HLAfederate,,InvalidMOMParameterEncoding,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0027-hlasettiming-bad-float-encoding-hlareportperiod,HLAinteractionRoot.HLAmanager.HLAfederate.HLAadjust.HLAsetTiming,bad_float_encoding,HLAreportPeriod,,InvalidMOMParameterEncoding,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0028-hlarequestfommoduledata-unexpected-parameter,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestFOMmoduleData,unexpected_parameter,,,UnexpectedMOMParameter,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0029-hlarequestfommoduledata-missing-required-parameter-hlafederate,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestFOMmoduleData,missing_required_parameter,HLAfederate,,MissingMOMParameter,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0030-hlarequestfommoduledata-missing-required-parameter-hlafommoduleindicator,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestFOMmoduleData,missing_required_parameter,HLAFOMmoduleIndicator,,MissingMOMParameter,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0031-hlarequestfommoduledata-bad-handle-encoding-hlafederate,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestFOMmoduleData,bad_handle_encoding,HLAfederate,,InvalidMOMParameterEncoding,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0032-hlarequestinteractionsreceived-unexpected-parameter,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestInteractionsReceived,unexpected_parameter,,,UnexpectedMOMParameter,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0033-hlarequestinteractionsreceived-missing-required-parameter-hlafederate,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestInteractionsReceived,missing_required_parameter,HLAfederate,,MissingMOMParameter,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0034-hlarequestinteractionsreceived-bad-handle-encoding-hlafederate,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestInteractionsReceived,bad_handle_encoding,HLAfederate,,InvalidMOMParameterEncoding,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0035-hlarequestinteractionssent-unexpected-parameter,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestInteractionsSent,unexpected_parameter,,,UnexpectedMOMParameter,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0036-hlarequestinteractionssent-missing-required-parameter-hlafederate,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestInteractionsSent,missing_required_parameter,HLAfederate,,MissingMOMParameter,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0037-hlarequestinteractionssent-bad-handle-encoding-hlafederate,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestInteractionsSent,bad_handle_encoding,HLAfederate,,InvalidMOMParameterEncoding,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0038-hlarequestobjectinstanceinformation-unexpected-parameter,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestObjectInstanceInformation,unexpected_parameter,,,UnexpectedMOMParameter,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0039-hlarequestobjectinstanceinformation-missing-required-parameter-hlafederate,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestObjectInstanceInformation,missing_required_parameter,HLAfederate,,MissingMOMParameter,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0040-hlarequestobjectinstanceinformation-missing-required-parameter-hlaobjectinstance,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestObjectInstanceInformation,missing_required_parameter,HLAobjectInstance,,MissingMOMParameter,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0041-hlarequestobjectinstanceinformation-bad-handle-encoding-hlafederate,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestObjectInstanceInformation,bad_handle_encoding,HLAfederate,,InvalidMOMParameterEncoding,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0042-hlarequestobjectinstanceinformation-bad-handle-encoding-hlaobjectinstance,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestObjectInstanceInformation,bad_handle_encoding,HLAobjectInstance,,InvalidMOMParameterEncoding,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0043-hlarequestobjectinstancesreflected-unexpected-parameter,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestObjectInstancesReflected,unexpected_parameter,,,UnexpectedMOMParameter,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0044-hlarequestobjectinstancesreflected-missing-required-parameter-hlafederate,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestObjectInstancesReflected,missing_required_parameter,HLAfederate,,MissingMOMParameter,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0045-hlarequestobjectinstancesreflected-bad-handle-encoding-hlafederate,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestObjectInstancesReflected,bad_handle_encoding,HLAfederate,,InvalidMOMParameterEncoding,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0046-hlarequestobjectinstancesthatcanbedeleted-unexpected-parameter,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestObjectInstancesThatCanBeDeleted,unexpected_parameter,,,UnexpectedMOMParameter,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0047-hlarequestobjectinstancesthatcanbedeleted-missing-required-parameter-hlafederate,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestObjectInstancesThatCanBeDeleted,missing_required_parameter,HLAfederate,,MissingMOMParameter,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0048-hlarequestobjectinstancesthatcanbedeleted-bad-handle-encoding-hlafederate,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestObjectInstancesThatCanBeDeleted,bad_handle_encoding,HLAfederate,,InvalidMOMParameterEncoding,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0049-hlarequestobjectinstancesupdated-unexpected-parameter,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestObjectInstancesUpdated,unexpected_parameter,,,UnexpectedMOMParameter,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0050-hlarequestobjectinstancesupdated-missing-required-parameter-hlafederate,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestObjectInstancesUpdated,missing_required_parameter,HLAfederate,,MissingMOMParameter,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0051-hlarequestobjectinstancesupdated-bad-handle-encoding-hlafederate,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestObjectInstancesUpdated,bad_handle_encoding,HLAfederate,,InvalidMOMParameterEncoding,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0052-hlarequestpublications-unexpected-parameter,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestPublications,unexpected_parameter,,,UnexpectedMOMParameter,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0053-hlarequestpublications-missing-required-parameter-hlafederate,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestPublications,missing_required_parameter,HLAfederate,,MissingMOMParameter,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0054-hlarequestpublications-bad-handle-encoding-hlafederate,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestPublications,bad_handle_encoding,HLAfederate,,InvalidMOMParameterEncoding,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0055-hlarequestreflectionsreceived-unexpected-parameter,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestReflectionsReceived,unexpected_parameter,,,UnexpectedMOMParameter,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0056-hlarequestreflectionsreceived-missing-required-parameter-hlafederate,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestReflectionsReceived,missing_required_parameter,HLAfederate,,MissingMOMParameter,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0057-hlarequestreflectionsreceived-bad-handle-encoding-hlafederate,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestReflectionsReceived,bad_handle_encoding,HLAfederate,,InvalidMOMParameterEncoding,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0058-hlarequestsubscriptions-unexpected-parameter,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestSubscriptions,unexpected_parameter,,,UnexpectedMOMParameter,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0059-hlarequestsubscriptions-missing-required-parameter-hlafederate,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestSubscriptions,missing_required_parameter,HLAfederate,,MissingMOMParameter,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0060-hlarequestsubscriptions-bad-handle-encoding-hlafederate,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestSubscriptions,bad_handle_encoding,HLAfederate,,InvalidMOMParameterEncoding,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0061-hlarequestupdatessent-unexpected-parameter,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestUpdatesSent,unexpected_parameter,,,UnexpectedMOMParameter,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0062-hlarequestupdatessent-missing-required-parameter-hlafederate,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestUpdatesSent,missing_required_parameter,HLAfederate,,MissingMOMParameter,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0063-hlarequestupdatessent-bad-handle-encoding-hlafederate,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestUpdatesSent,bad_handle_encoding,HLAfederate,,InvalidMOMParameterEncoding,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0064-hlachangeattributeordertype-unexpected-parameter,HLAinteractionRoot.HLAmanager.HLAfederate.HLAservice.HLAchangeAttributeOrderType,unexpected_parameter,,,UnexpectedMOMParameter,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0065-hlachangeattributeordertype-missing-required-parameter-hlafederate,HLAinteractionRoot.HLAmanager.HLAfederate.HLAservice.HLAchangeAttributeOrderType,missing_required_parameter,HLAfederate,,MissingMOMParameter,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0066-hlachangeattributeordertype-missing-required-parameter-hlaobjectinstance,HLAinteractionRoot.HLAmanager.HLAfederate.HLAservice.HLAchangeAttributeOrderType,missing_required_parameter,HLAobjectInstance,,MissingMOMParameter,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0067-hlachangeattributeordertype-missing-required-parameter-hlaattributelist,HLAinteractionRoot.HLAmanager.HLAfederate.HLAservice.HLAchangeAttributeOrderType,missing_required_parameter,HLAattributeList,,MissingMOMParameter,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0068-hlachangeattributeordertype-missing-required-parameter-hlasendorder,HLAinteractionRoot.HLAmanager.HLAfederate.HLAservice.HLAchangeAttributeOrderType,missing_required_parameter,HLAsendOrder,,MissingMOMParameter,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0069-hlachangeattributeordertype-bad-handle-encoding-hlafederate,HLAinteractionRoot.HLAmanager.HLAfederate.HLAservice.HLAchangeAttributeOrderType,bad_handle_encoding,HLAfederate,,InvalidMOMParameterEncoding,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
MOM-NEG-1516-1-2010-0070-hlachangeattributeordertype-bad-handle-encoding-hlaobjectinstance,HLAinteractionRoot.HLAmanager.HLAfederate.HLAservice.HLAchangeAttributeOrderType,bad_handle_encoding,HLAobjectInstance,,InvalidMOMParameterEncoding,True,executable strict MOM parameter validation,1516.1-2010 §11.4.1;1516.1-2010 §11.5
