scenario,route,status,evidence_scope,requirements,evidence_tests,evidence_artifacts,runtime_provider,implementation_lane,counts_as_python_2025_rti,wrapper_only,notes
ownership,python-2025-fedpro-grpc,parity-covered,scenario-parity,HLA2025-FR-005; HLA2025-BND-003,tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_python_route_parity.py,tests/transport/test_grpc_transport_2025.py; docs/plans/spec2025_finish_line_snapshot.json,python2025,hla-backend-python2025,true,false,"Hosted FedPro 2025 route covers unavailable acquisition, basic divest/acquire/query callbacks, non-owner update rejection, negotiated divestiture, confirm-divestiture completion, release requests, release denial, acquisition cancellation, divestiture-if-wanted, RTI-owned MOM attribute ownership query callbacks, and cancel-negotiated-offer callbacks, explicit factory-hosted create_rti_ambassador('python2025', transport=...) execution of the smoke save/restore ownership rollback gauntlet plus owned-attribute reacquisition rejection, non-owner divestiture rejection, unowned query callbacks, fresh acquisition notification, informed-owner query callbacks, restored in-flight ownership negotiation state, and restored cross-federate owner-visibility callbacks through the direct 2025 ambassador surface; save/restore recovery of in-flight ownership negotiation state and restored cross-federate owner-visibility callbacks are also exercised over the hosted FedPro route; resign-time divest/delete/cancel ownership policies are exercised over the FedPro route. Explicit hosted-route identity proof shows the direct ambassador, hosted server, and hosted client all identify python2025 / hla-backend-python2025 as the primary 2025 Python RTI implementation lane, with counts_as_python_2025_rti=true and wrapper_only=false where those fields apply. Treat remaining hosted FedPro proof here as transport-seam evidence over hla-backend-python2025 rather than evidence that the main 2025 Python RTI lane lacks the underlying semantics."
ownership,java-standard-2025-jpype,parity-covered,scenario-parity,HLA2025-FR-005; HLA2025-FR-008; HLA2025-BND-001,tests/backends/test_standard_shim_artifacts.py,docs/evidence/shim_routes/java-standard-2025.json; docs/evidence/shim_routes/route_traces/java-standard-2025-jpype.json,python2025,hla-backend-python2025,false,false,"Java 2025 JPype standard route runs the ownership runtime trace through the official API compile artifact gate: initial ownership, unavailable acquisition while owned, unconditional divestiture, acquisition notification, and ownership query callbacks. These binding/wrapper routes are executed over the primary python2025 runtime lane in hla-backend-python2025, with the Java/C++ packages limited to compatibility and API adaptation. Treat Java/C++ route parity here as binding/adaptation-seam evidence over the main hla-backend-python2025 runtime, not as alternate ownership of core 2025 RTI semantics."
ownership,java-standard-2025-py4j,parity-covered,scenario-parity,HLA2025-FR-005; HLA2025-FR-008; HLA2025-BND-001,tests/backends/test_standard_shim_artifacts.py,docs/evidence/shim_routes/java-standard-2025.json; docs/evidence/shim_routes/route_traces/java-standard-2025-py4j.json,python2025,hla-backend-python2025,false,false,"Java 2025 Py4J standard route runs the ownership runtime trace through the official API compile artifact gate: initial ownership, unavailable acquisition while owned, unconditional divestiture, acquisition notification, and ownership query callbacks. These binding/wrapper routes are executed over the primary python2025 runtime lane in hla-backend-python2025, with the Java/C++ packages limited to compatibility and API adaptation. Treat Java/C++ route parity here as binding/adaptation-seam evidence over the main hla-backend-python2025 runtime, not as alternate ownership of core 2025 RTI semantics."
ownership,cpp-standard-2025-pybind,parity-covered,scenario-parity,HLA2025-FR-005; HLA2025-FR-008; HLA2025-BND-002,tests/backends/test_standard_shim_artifacts.py,docs/evidence/shim_routes/cpp-standard-2025.json; docs/evidence/shim_routes/route_traces/cpp-standard-2025-pybind.json,python2025,hla-backend-python2025,false,false,"C++ 2025 pybind standard route runs the ownership runtime trace: initially owned registered attribute, unavailable acquisition while owned, unconditional divestiture, acquisition notification, and ownership query callbacks after transfer. These binding/wrapper routes are executed over the primary python2025 runtime lane in hla-backend-python2025, with the Java/C++ packages limited to compatibility and API adaptation. Treat Java/C++ route parity here as binding/adaptation-seam evidence over the main hla-backend-python2025 runtime, not as alternate ownership of core 2025 RTI semantics."
ownership,cpp-standard-2025-grpc,parity-covered,scenario-parity,HLA2025-FR-005; HLA2025-FR-008; HLA2025-BND-002,tests/backends/test_standard_shim_artifacts.py,docs/evidence/shim_routes/cpp-standard-2025.json; docs/evidence/shim_routes/route_traces/cpp-standard-2025-grpc.json,python2025,hla-backend-python2025,false,false,"C++ 2025 gRPC standard route runs the ownership runtime trace: initially owned registered attribute, unavailable acquisition while owned, unconditional divestiture, acquisition notification, and ownership query callbacks after transfer. These binding/wrapper routes are executed over the primary python2025 runtime lane in hla-backend-python2025, with the Java/C++ packages limited to compatibility and API adaptation. Treat Java/C++ route parity here as binding/adaptation-seam evidence over the main hla-backend-python2025 runtime, not as alternate ownership of core 2025 RTI semantics."
save_restore,python-2025-inprocess,parity-covered,scenario-parity,HLA2025-FI-001; HLA2025-FI-005; HLA2025-REQ-002,tests/test_rti1516_2025_python2025_runtime.py,tests/test_rti1516_2025_python2025_runtime.py,python2025,hla-backend-python2025,true,false,"Current Python 2025 RTI covers federation save/restore lifecycle, rollback callback slices, callback-delivery runtime-policy preservation, plain object/interaction subscriber-routing rollback, directed DDM subscriber-routing rollback, in-flight ownership and owner-visibility rollback, time/switch-control rollback, saved lookahead recovery, transport/order policy rollback including transportation-type restore persistence, restore failure/abort plus restore-precondition/participant/status negative control flow, exact status-clear transitions back to NO_SAVE_IN_PROGRESS/NO_RESTORE_IN_PROGRESS, full initiate/save/restore callback contracts, local-delete object-known-state recovery, and pre-save queued-TSO redelivery after restore."
save_restore,python-2025-fedpro-grpc,parity-covered,scenario-parity,HLA2025-FI-001; HLA2025-BND-003,tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_python_route_parity.py,tests/transport/test_grpc_transport_2025.py; docs/plans/spec2025_finish_line_snapshot.json,python2025,hla-backend-python2025,true,false,"Hosted FedPro 2025 route covers save/restore lifecycle calls, untimed and timed initiateFederateSave callbacks, status callbacks, success/failure callbacks, abort callbacks, restore precondition/failure/abort plus restore participant/status exception control flow, post-resign callback silence for departed federates, object registry rollback, logical-time rollback, time/switch-control rollback, plain object/interaction subscriber-routing rollback, directed DDM subscriber-routing rollback, local-delete object-known-state recovery, transportation-type restore persistence, queued-TSO redelivery after restore, explicit factory-hosted create_rti_ambassador('python2025', transport=...) execution of the package-owned restore-state, restore-output-resume, and pipeline-resume scenario adapter paths, and bounded radar-window state rollback. Explicit hosted-route identity proof shows the direct ambassador, hosted server, and hosted client all identify python2025 / hla-backend-python2025 as the primary 2025 Python RTI implementation lane, with counts_as_python_2025_rti=true and wrapper_only=false where those fields apply. Treat remaining hosted FedPro proof here as transport-seam evidence over hla-backend-python2025 rather than evidence that the main 2025 Python RTI lane lacks the underlying semantics."
save_restore,java-standard-2025-jpype,parity-covered,scenario-parity,HLA2025-FI-001; HLA2025-FI-005; HLA2025-REQ-002; HLA2025-BND-001,tests/backends/test_standard_shim_artifacts.py,docs/evidence/shim_routes/java-standard-2025.json; docs/evidence/shim_routes/route_traces/java-standard-2025-jpype.json,python2025,hla-backend-python2025,false,false,"Java 2025 JPype standard route runs the save/restore runtime trace through the official API compile artifact gate: two-federate save initiation/status/completion, missing-restore failure, restore initiation/status/completion, logical-time rollback, and object registry rollback. These binding/wrapper routes are executed over the primary python2025 runtime lane in hla-backend-python2025, with the Java/C++ packages limited to compatibility and API adaptation. Treat Java/C++ route parity here as binding/adaptation-seam evidence over the main hla-backend-python2025 runtime, not as alternate ownership of core 2025 RTI semantics."
save_restore,java-standard-2025-py4j,parity-covered,scenario-parity,HLA2025-FI-001; HLA2025-FI-005; HLA2025-REQ-002; HLA2025-BND-001,tests/backends/test_standard_shim_artifacts.py,docs/evidence/shim_routes/java-standard-2025.json; docs/evidence/shim_routes/route_traces/java-standard-2025-py4j.json,python2025,hla-backend-python2025,false,false,"Java 2025 Py4J standard route runs the save/restore runtime trace through the official API compile artifact gate: two-federate save initiation/status/completion, missing-restore failure, restore initiation/status/completion, logical-time rollback, and object registry rollback. These binding/wrapper routes are executed over the primary python2025 runtime lane in hla-backend-python2025, with the Java/C++ packages limited to compatibility and API adaptation. Treat Java/C++ route parity here as binding/adaptation-seam evidence over the main hla-backend-python2025 runtime, not as alternate ownership of core 2025 RTI semantics."
save_restore,cpp-standard-2025-pybind,parity-covered,scenario-parity,HLA2025-FI-001; HLA2025-FI-005; HLA2025-REQ-002; HLA2025-BND-002,tests/backends/test_standard_shim_artifacts.py,docs/evidence/shim_routes/cpp-standard-2025.json; docs/evidence/shim_routes/route_traces/cpp-standard-2025-pybind.json,python2025,hla-backend-python2025,false,false,"C++ 2025 pybind standard route runs the save/restore runtime trace: two-federate save initiation/status/completion, missing-restore failure, restore initiation/status/completion, logical-time rollback, and object registry rollback. These binding/wrapper routes are executed over the primary python2025 runtime lane in hla-backend-python2025, with the Java/C++ packages limited to compatibility and API adaptation. Treat Java/C++ route parity here as binding/adaptation-seam evidence over the main hla-backend-python2025 runtime, not as alternate ownership of core 2025 RTI semantics."
save_restore,cpp-standard-2025-grpc,parity-covered,scenario-parity,HLA2025-FI-001; HLA2025-FI-005; HLA2025-REQ-002; HLA2025-BND-002,tests/backends/test_standard_shim_artifacts.py,docs/evidence/shim_routes/cpp-standard-2025.json; docs/evidence/shim_routes/route_traces/cpp-standard-2025-grpc.json,python2025,hla-backend-python2025,false,false,"C++ 2025 gRPC standard route runs the save/restore runtime trace: two-federate save initiation/status/completion, missing-restore failure, restore initiation/status/completion, logical-time rollback, and object registry rollback. These binding/wrapper routes are executed over the primary python2025 runtime lane in hla-backend-python2025, with the Java/C++ packages limited to compatibility and API adaptation. Treat Java/C++ route parity here as binding/adaptation-seam evidence over the main hla-backend-python2025 runtime, not as alternate ownership of core 2025 RTI semantics."
support_services,python-2025-inprocess,parity-covered,scenario-parity,HLA2025-FI-001; HLA2025-MOD-007,tests/test_rti1516_2025_python2025_runtime.py,tests/test_rti1516_2025_python2025_runtime.py,python2025,hla-backend-python2025,true,false,"Primary Python 2025 RTI implementation covers FOM handle/name round trips, raw support-service handle-factory and decode-helper proof without routing through the compatibility wrapper, snake-case alias acceptance on the primary direct-runtime surface, transportation/order lookups, automatic resign directive get/set round trips, raw callback-delivery enable/disable and evoke callback control with queued discovery/reflection release on the main hla-backend-python2025 lane, direct attribute and interaction transportation change/query callback flow, and single/multiple object-instance name reservation/release callback flow."
support_services,python-2025-fedpro-grpc,parity-covered,scenario-parity,HLA2025-FI-001; HLA2025-BND-003,tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_python_route_parity.py,tests/transport/test_grpc_transport_2025.py; docs/plans/spec2025_finish_line_snapshot.json,python2025,hla-backend-python2025,true,false,"Hosted FedPro 2025 route over the primary Python 2025 RTI implementation covers FOM handle/name round trips, dimension/range, transportation/order, update-rate, normalization, logical-time query, callback-delivery enable/disable control with queued reflection release plus reconnect-safe discard of a disconnected peer's disabled callback backlog before later reconnect, explicit factory-hosted create_rti_ambassador('python2025', transport=...) execution of the shared support factory/decode scenario plus automatic-resign get/set, multiple-name reservation callbacks, object-instance name lookup, and queued reflection release on re-enabled callbacks, single and multiple object-instance name reservation/release callback flow, turnUpdatesOn/turnUpdatesOff advisory callback flow for object-class subscriptions, direct attribute and interaction transportation change/query callback flow, automatic resign directive get/set, and 2025 switch get/set plus read-only switch inquiry services. Explicit hosted-route identity proof shows the direct ambassador, hosted server, and hosted client all identify python2025 / hla-backend-python2025 as the primary 2025 Python RTI implementation lane, with counts_as_python_2025_rti=true and wrapper_only=false where those fields apply. Treat remaining hosted FedPro proof here as transport-seam evidence over hla-backend-python2025 rather than evidence that the main 2025 Python RTI lane lacks the underlying semantics."
support_services,java-standard-2025-jpype,parity-covered,scenario-parity,HLA2025-FI-001; HLA2025-MOD-007; HLA2025-BND-001,tests/backends/test_standard_shim_artifacts.py,docs/evidence/shim_routes/java-standard-2025.json; docs/evidence/shim_routes/route_traces/java-standard-2025-jpype.json,python2025,hla-backend-python2025,false,false,"Java 2025 JPype standard route runs the support-services runtime trace through the official API compile artifact gate: federate/object/name lookups, known-class and dimension/transport/order lookups, logical-time factory lookup, and 2025 switch round trips. These binding/wrapper routes are executed over the primary python2025 runtime lane in hla-backend-python2025, with the Java/C++ packages limited to compatibility and API adaptation. Treat Java/C++ route parity here as binding/adaptation-seam evidence over the main hla-backend-python2025 runtime, not as alternate ownership of core 2025 RTI semantics."
support_services,java-standard-2025-py4j,parity-covered,scenario-parity,HLA2025-FI-001; HLA2025-MOD-007; HLA2025-BND-001,tests/backends/test_standard_shim_artifacts.py,docs/evidence/shim_routes/java-standard-2025.json; docs/evidence/shim_routes/route_traces/java-standard-2025-py4j.json,python2025,hla-backend-python2025,false,false,"Java 2025 Py4J standard route runs the support-services runtime trace through the official API compile artifact gate: federate/object/name lookups, known-class and dimension/transport/order lookups, logical-time factory lookup, and 2025 switch round trips. These binding/wrapper routes are executed over the primary python2025 runtime lane in hla-backend-python2025, with the Java/C++ packages limited to compatibility and API adaptation. Treat Java/C++ route parity here as binding/adaptation-seam evidence over the main hla-backend-python2025 runtime, not as alternate ownership of core 2025 RTI semantics."
support_services,cpp-standard-2025-pybind,parity-covered,scenario-parity,HLA2025-FI-001; HLA2025-MOD-007; HLA2025-BND-002,tests/backends/test_standard_shim_artifacts.py,docs/evidence/shim_routes/cpp-standard-2025.json; docs/evidence/shim_routes/route_traces/cpp-standard-2025-pybind.json,python2025,hla-backend-python2025,false,false,"C++ 2025 pybind standard route runs the support-services runtime trace: federate/object/name lookups, known-class and dimension/transport/order lookups, logical-time factory lookup, and 2025 switch round trips. These binding/wrapper routes are executed over the primary python2025 runtime lane in hla-backend-python2025, with the Java/C++ packages limited to compatibility and API adaptation. Treat Java/C++ route parity here as binding/adaptation-seam evidence over the main hla-backend-python2025 runtime, not as alternate ownership of core 2025 RTI semantics."
support_services,cpp-standard-2025-grpc,parity-covered,scenario-parity,HLA2025-FI-001; HLA2025-MOD-007; HLA2025-BND-002,tests/backends/test_standard_shim_artifacts.py,docs/evidence/shim_routes/cpp-standard-2025.json; docs/evidence/shim_routes/route_traces/cpp-standard-2025-grpc.json,python2025,hla-backend-python2025,false,false,"C++ 2025 gRPC standard route runs the support-services runtime trace: federate/object/name lookups, known-class and dimension/transport/order lookups, logical-time factory lookup, and 2025 switch round trips. These binding/wrapper routes are executed over the primary python2025 runtime lane in hla-backend-python2025, with the Java/C++ packages limited to compatibility and API adaptation. Treat Java/C++ route parity here as binding/adaptation-seam evidence over the main hla-backend-python2025 runtime, not as alternate ownership of core 2025 RTI semantics."
time_management,python-2025-inprocess,parity-covered,scenario-parity,HLA2025-FR-010; HLA2025-FI-009; HLA2025-MOD-006,tests/test_rti1516_2025_python2025_runtime.py; tests/scenarios/test_python_route_parity.py,tests/test_rti1516_2025_python2025_runtime.py,python2025,hla-backend-python2025,true,false,"Current Python 2025 RTI covers logical-time factories, regulation/constrained mode, lookahead query/modify, advance and flush grants, queued TSO delivery, GALT/LITS/logical-time queries, retraction, and the Target/Radar integrated lookahead-processing-window gauntlet together with the time-window core, output-delivery, consumer-order, pipeline-two-scans, receive-order-poison, future-exclusion blocking until GALT/LITS reach the window end, save-restore-window-state, save-restore lookahead rollback with queued-TSO redelivery, save-restore-output-resume, and save-restore-pipeline-resume scenarios backed by falsifiable oracle-rejection guards."
time_management,python-2025-fedpro-grpc,parity-covered,scenario-parity,HLA2025-FR-010; HLA2025-FI-009; HLA2025-BND-003,tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_python_route_parity.py,tests/transport/test_grpc_transport_2025.py; docs/plans/spec2025_finish_line_snapshot.json,python2025,hla-backend-python2025,true,false,"Hosted FedPro 2025 route covers regulation/constrained enable-disable, async delivery enable-disable, TAR/TARA/NMR/NMRA/FQR grants, queued TSO delivery, bounded logical time/GALT/LITS/lookahead query evidence, explicit factory-hosted create_rti_ambassador('python2025', transport=...) execution of MOM time-management service interactions through the direct 2025 ambassador surface, queued-TSO GALT/LITS divergence after a live lookahead change, a hosted Target/Radar proof-ladder replay over the main python2025-backed FedPro route, explicit factory-hosted create_rti_ambassador('python2025', transport=...) execution of the package-owned shared Target/Radar example scenario plus the package-owned future-exclusion, output-delivery, consumer-order, integrated lookahead-processing-window gauntlet, and restore-state scenario adapter paths, the Target/Radar output-delivery, consumer-order, pipeline-two-scans, receive-order-poison, future-exclusion, save-restore-window-state, save-restore lookahead rollback with queued-TSO redelivery, save-restore-output-resume, and save-restore-pipeline-resume scenarios backed by falsifiable oracle-rejection guards, and pre-delivery retract. Explicit hosted-route identity proof shows the direct ambassador, hosted server, and hosted client all identify python2025 / hla-backend-python2025 as the primary 2025 Python RTI implementation lane, with counts_as_python_2025_rti=true and wrapper_only=false where those fields apply. Treat remaining hosted FedPro proof here as transport-seam evidence over hla-backend-python2025 rather than evidence that the main 2025 Python RTI lane lacks the underlying semantics."
time_management,java-standard-2025-jpype,parity-covered,scenario-parity,HLA2025-FR-010; HLA2025-FI-009; HLA2025-BND-001,tests/backends/test_standard_shim_artifacts.py,docs/evidence/shim_routes/java-standard-2025.json; docs/evidence/shim_routes/route_traces/java-standard-2025-jpype.json,python2025,hla-backend-python2025,false,false,"Java 2025 JPype standard route runs the logical-time runtime trace through the official API compile artifact gate: selected time factory, time regulation/constrained mode, lookahead modification, TAR/FQR grants, and GALT/LITS/logical-time queries. These binding/wrapper routes are executed over the primary python2025 runtime lane in hla-backend-python2025, with the Java/C++ packages limited to compatibility and API adaptation. Treat Java/C++ route parity here as binding/adaptation-seam evidence over the main hla-backend-python2025 runtime, not as alternate ownership of core 2025 RTI semantics."
time_management,java-standard-2025-py4j,parity-covered,scenario-parity,HLA2025-FR-010; HLA2025-FI-009; HLA2025-BND-001,tests/backends/test_standard_shim_artifacts.py,docs/evidence/shim_routes/java-standard-2025.json; docs/evidence/shim_routes/route_traces/java-standard-2025-py4j.json,python2025,hla-backend-python2025,false,false,"Java 2025 Py4J standard route runs the logical-time runtime trace through the official API compile artifact gate: selected time factory, time regulation/constrained mode, lookahead modification, TAR/FQR grants, and GALT/LITS/logical-time queries. These binding/wrapper routes are executed over the primary python2025 runtime lane in hla-backend-python2025, with the Java/C++ packages limited to compatibility and API adaptation. Treat Java/C++ route parity here as binding/adaptation-seam evidence over the main hla-backend-python2025 runtime, not as alternate ownership of core 2025 RTI semantics."
time_management,cpp-standard-2025-pybind,parity-covered,scenario-parity,HLA2025-FR-010; HLA2025-FI-009; HLA2025-BND-002,tests/backends/test_standard_shim_artifacts.py,docs/evidence/shim_routes/cpp-standard-2025.json; docs/evidence/shim_routes/route_traces/cpp-standard-2025-pybind.json,python2025,hla-backend-python2025,false,false,"C++ 2025 pybind standard route runs the logical-time runtime trace: selected time factory, time regulation/constrained mode, lookahead modification, TAR/FQR grants, and GALT/LITS/logical-time queries. These binding/wrapper routes are executed over the primary python2025 runtime lane in hla-backend-python2025, with the Java/C++ packages limited to compatibility and API adaptation. Treat Java/C++ route parity here as binding/adaptation-seam evidence over the main hla-backend-python2025 runtime, not as alternate ownership of core 2025 RTI semantics."
time_management,cpp-standard-2025-grpc,parity-covered,scenario-parity,HLA2025-FR-010; HLA2025-FI-009; HLA2025-BND-002,tests/backends/test_standard_shim_artifacts.py,docs/evidence/shim_routes/cpp-standard-2025.json; docs/evidence/shim_routes/route_traces/cpp-standard-2025-grpc.json,python2025,hla-backend-python2025,false,false,"C++ 2025 gRPC standard route runs the logical-time runtime trace: selected time factory, time regulation/constrained mode, lookahead modification, TAR/FQR grants, and GALT/LITS/logical-time queries. These binding/wrapper routes are executed over the primary python2025 runtime lane in hla-backend-python2025, with the Java/C++ packages limited to compatibility and API adaptation. Treat Java/C++ route parity here as binding/adaptation-seam evidence over the main hla-backend-python2025 runtime, not as alternate ownership of core 2025 RTI semantics."
