closure_wave,priority,area,service_group,canonical_disposition,pitch_202x_resolution,pitch_202x_owner_doc,pitch_202x_evidence_packet,pitch_202x_primary_command,pitch_202x_scope_note
0-retired-filter-and-replacement-map,P1,Retired / replacement mapping candidates,Federate Interface legacy API,retired/legacy-only,legacy mapping only; not an active Pitch proto HLA 4 / 202X behavior-support claim,docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,,,See owner doc.
0-retired-filter-and-replacement-map,P1,Retired / replacement mapping candidates,OMT legacy schema,retired/legacy-only,legacy mapping only; not an active Pitch proto HLA 4 / 202X behavior-support claim,docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,,,See owner doc.
1-fi-service-and-binding-disposition,P0,Callback/configuration/binding deltas,Callback model and bindings,duplicate/umbrella,umbrella only; any Pitch proto HLA 4 / 202X claim must resolve through child FI rows and binding boundary notes,docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md,./tools/pitch 202x-micro-certify,Use this only as a grouped callback/binding interpretation surface. Any executable Pitch 202X claim still closes through child FI rows plus the bounded micro-certification packet.
1-fi-service-and-binding-disposition,P0,Federate Interface service catalog,Declaration management,covered,"vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md,./tools/pitch 202x-micro-certify,Bounded adapter-route comparison only. Current concrete Pitch 202X evidence is limited to the committed micro-certification packet and does not prove clause-complete IEEE 1516.1-2025 vendor conformance.
1-fi-service-and-binding-disposition,P0,Federate Interface service catalog,Federation management,covered,"vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md,./tools/pitch 202x-micro-certify,Bounded adapter-route comparison only. Current concrete Pitch 202X evidence is limited to the committed micro-certification packet and does not prove clause-complete IEEE 1516.1-2025 vendor conformance.
1-fi-service-and-binding-disposition,P0,Federate Interface service catalog,Object management,covered,"vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md,./tools/pitch 202x-micro-certify,Bounded adapter-route comparison only. Current concrete Pitch 202X evidence is limited to the committed micro-certification packet and does not prove clause-complete IEEE 1516.1-2025 vendor conformance.
1-fi-service-and-binding-disposition,P0,Federate Interface service catalog,Support services,covered,"vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md,./tools/pitch 202x-micro-certify,Bounded adapter-route comparison only. Current concrete Pitch 202X evidence is limited to the committed micro-certification packet and does not prove clause-complete IEEE 1516.1-2025 vendor conformance.
1-fi-service-and-binding-disposition,P0,Federate Interface service catalog,Time management,covered,"vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md,./tools/pitch 202x-micro-certify,Bounded adapter-route comparison only. Current concrete Pitch 202X evidence is limited to the committed micro-certification packet and does not prove clause-complete IEEE 1516.1-2025 vendor conformance.
1-fi-service-and-binding-disposition,P1,Callback/configuration/binding deltas,Callback model and bindings,duplicate/umbrella,umbrella only; any Pitch proto HLA 4 / 202X claim must resolve through child FI rows and binding boundary notes,docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md,./tools/pitch 202x-micro-certify,Use this only as a grouped callback/binding interpretation surface. Any executable Pitch 202X claim still closes through child FI rows plus the bounded micro-certification packet.
1-fi-service-and-binding-disposition,P1,Federate Interface service catalog,Data distribution management,covered,"vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md,./tools/pitch 202x-micro-certify,Bounded adapter-route comparison only. Current concrete Pitch 202X evidence is limited to the committed micro-certification packet and does not prove clause-complete IEEE 1516.1-2025 vendor conformance.
1-fi-service-and-binding-disposition,P1,Federate Interface service catalog,Declaration management,covered,"vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md,./tools/pitch 202x-micro-certify,Bounded adapter-route comparison only. Current concrete Pitch 202X evidence is limited to the committed micro-certification packet and does not prove clause-complete IEEE 1516.1-2025 vendor conformance.
1-fi-service-and-binding-disposition,P1,Federate Interface service catalog,Federation management,covered,"vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md,./tools/pitch 202x-micro-certify,Bounded adapter-route comparison only. Current concrete Pitch 202X evidence is limited to the committed micro-certification packet and does not prove clause-complete IEEE 1516.1-2025 vendor conformance.
1-fi-service-and-binding-disposition,P1,Federate Interface service catalog,Federation management,covered,"vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md,./tools/pitch 202x-micro-certify,Bounded adapter-route comparison only. Current concrete Pitch 202X evidence is limited to the committed micro-certification packet and does not prove clause-complete IEEE 1516.1-2025 vendor conformance.
1-fi-service-and-binding-disposition,P1,Federate Interface service catalog,Object management,covered,"vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md,./tools/pitch 202x-micro-certify,Bounded adapter-route comparison only. Current concrete Pitch 202X evidence is limited to the committed micro-certification packet and does not prove clause-complete IEEE 1516.1-2025 vendor conformance.
1-fi-service-and-binding-disposition,P1,Federate Interface service catalog,Object management,covered,"vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md,./tools/pitch 202x-micro-certify,Bounded adapter-route comparison only. Current concrete Pitch 202X evidence is limited to the committed micro-certification packet and does not prove clause-complete IEEE 1516.1-2025 vendor conformance.
1-fi-service-and-binding-disposition,P1,Federate Interface service catalog,Object management,covered,"vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md,./tools/pitch 202x-micro-certify,Bounded adapter-route comparison only. Current concrete Pitch 202X evidence is limited to the committed micro-certification packet and does not prove clause-complete IEEE 1516.1-2025 vendor conformance.
1-fi-service-and-binding-disposition,P1,Federate Interface service catalog,Ownership management,covered,"vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md,./tools/pitch 202x-micro-certify,Bounded adapter-route comparison only. Current concrete Pitch 202X evidence is limited to the committed micro-certification packet and does not prove clause-complete IEEE 1516.1-2025 vendor conformance.
1-fi-service-and-binding-disposition,P1,Federate Interface service catalog,Support services,covered,"vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md,./tools/pitch 202x-micro-certify,Bounded adapter-route comparison only. Current concrete Pitch 202X evidence is limited to the committed micro-certification packet and does not prove clause-complete IEEE 1516.1-2025 vendor conformance.
1-fi-service-and-binding-disposition,P1,Federate Interface service catalog,Support services,covered,"vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md,./tools/pitch 202x-micro-certify,Bounded adapter-route comparison only. Current concrete Pitch 202X evidence is limited to the committed micro-certification packet and does not prove clause-complete IEEE 1516.1-2025 vendor conformance.
1-fi-service-and-binding-disposition,P1,Federate Interface service catalog,Time management,covered,"vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md,./tools/pitch 202x-micro-certify,Bounded adapter-route comparison only. Current concrete Pitch 202X evidence is limited to the committed micro-certification packet and does not prove clause-complete IEEE 1516.1-2025 vendor conformance.
2-omt-field-and-validator-fixtures,P0,OMT validator-negative conformance,Schema enumerations and value domains,covered,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,,,Not a Pitch 202X runtime-ownership bucket. Keep parser and validator closure in the OMT owner docs unless a future vendor-specific parser lane is added.
2-omt-field-and-validator-fixtures,P0,OMT validator-negative conformance,Schema identity and reference constraints,covered,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,,,Not a Pitch 202X runtime-ownership bucket. Keep parser and validator closure in the OMT owner docs unless a future vendor-specific parser lane is added.
2-omt-field-and-validator-fixtures,P1,OMT component-level conformance,Array data type table,covered,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,,,Not a Pitch 202X runtime-ownership bucket. Keep parser and validator closure in the OMT owner docs unless a future vendor-specific parser lane is added.
2-omt-field-and-validator-fixtures,P1,OMT component-level conformance,Attribute table,covered,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,,,Not a Pitch 202X runtime-ownership bucket. Keep parser and validator closure in the OMT owner docs unless a future vendor-specific parser lane is added.
