packet_requirement_id,curated_requirement_id,standard,clause,reconciliation_kind,feature,requirement_text,packet_verification_method,current_test_id,current_status,implementation_area,source_packet_file,notes
HLA1516.1-MOM-11_1-OVW-001,HLA1516.1-MOM-11.1-001;HLA1516.1-MOM-11.1-002,IEEE 1516.1-2010 (2010 edition),11.1,OVW,MOM-DEFINITION,"The RTI shall expose federation-management information through the standard Management Object Model using OMT-defined object classes, attributes, interaction classes, parameters, datatypes, and semantics.",requirements review + MOM observer test,tests/verification/test_mom_observer_slice_v013.py::test_mom_observer_slice_reconstructs_federate_object_discovery_and_reflection;tests/mom/test_mom_catalog_validation_v012.py::test_mom_catalog_is_derived_from_standard_mim_and_exposes_validation_matrix,mapped,mom_runtime,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
HLA1516.1-MOM-11_1-OVW-002,HLA1516.1-MOM-11.1-003;HLA1516.1-MOM-11.1-004,IEEE 1516.1-2010 (2010 edition),11.1,OVW,MOM-IN-FDD,The FDD for every federation execution shall include the standard MOM definitions needed by conforming MOM subscribers and requestors.,FDD static validation,tests/mom/test_mom_catalog_validation_v012.py::test_mom_catalog_is_derived_from_standard_mim_and_exposes_validation_matrix,mapped,mom_catalog,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
HLA1516.1-MOM-11_1-OVW-003,HLA1516.1-MOM-11.1-005,IEEE 1516.1-2010 (2010 edition),11.1,OVW,MOM-NONREVISION,"The implementation shall not revise the predefined standard MOM object classes, interaction classes, attributes, parameters, datatypes, or semantics, except by standard-compatible extension.",MIM static diff test,tests/factories/test_fom_omt_parsing.py::test_merge_with_standard_mim_preserves_standard_mom_definitions_and_catalog_metadata;tests/mom/test_mom_catalog_validation_v012.py::test_mom_catalog_is_derived_from_standard_mim_and_exposes_validation_matrix;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_distinguishes_fom_som_and_mim_types_and_preserves_notes,mapped,mom_catalog,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,"Current repo-native MIM merge tests directly prove that standard MOM definitions and catalog metadata are preserved without revision, while still allowing standard-compatible extension."
HLA1516.1-MOM-11_2-OBJ-004,HLA1516.1-MOM-11.2-001,IEEE 1516.1-2010 (2010 edition),11.2,OBJ,MOM-OBJECT-PUBLISH,The RTI shall publish standard MOM object classes and attributes designated as RTI-published in the MIM.,MOM publication test,tests/time/test_mom_mim_time_v10.py::test_standard_mim_is_loaded_first_and_mom_names_are_discoverable;tests/mom/test_mom_catalog_validation_v012.py::test_mom_runtime_applies_standard_rti_characteristics_as_one_coherent_contract,mapped,mom_runtime,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
HLA1516.1-MOM-11_2-OBJ-005,HLA1516.1-MOM-11.2-003,IEEE 1516.1-2010 (2010 edition),11.2,OBJ,MOM-FEDERATION-INSTANCE,The RTI shall register and maintain one standard MOM federation object instance representing the federation execution.,MOM observer integration test,tests/mom/test_mom_catalog_validation_v012.py::test_mom_catalog_is_derived_from_standard_mim_and_exposes_validation_matrix;tests/time/test_mom_mim_time_v10.py::test_mom_federation_object_can_be_discovered_and_reflected_on_request,mapped,mom_runtime,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
HLA1516.1-MOM-11_2-OBJ-006,HLA1516.1-MOM-11.2-002,IEEE 1516.1-2010 (2010 edition),11.2,OBJ,MOM-FEDERATE-INSTANCE,"The RTI shall register, update, and remove one standard MOM federate object instance for each joined federate according to join/resign/lost-federate lifecycle state.",join/resign MOM observer test,tests/verification/test_mom_observer_slice_v013.py::test_mom_observer_slice_reconstructs_federate_object_discovery_and_reflection,mapped,mom_runtime,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
HLA1516.1-MOM-11_2-OBJ-007,HLA1516.1-MOM-11.2-004,IEEE 1516.1-2010 (2010 edition),11.2,OBJ,MOM-ATTR-UPDATES,The RTI shall update MOM object attributes when the represented management state changes or when periodic/update-rate requirements apply.,MOM attribute reflection test,tests/time/test_mom_mim_time_v10.py::test_mom_federation_object_can_be_discovered_and_reflected_on_request;tests/mom/test_mom_catalog_validation_v012.py::test_mom_runtime_applies_standard_rti_characteristics_as_one_coherent_contract,mapped,mom_runtime,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
HLA1516.1-MOM-11_2_1-OBJ-008,HLA1516.1-MOM-11.2.1-001,IEEE 1516.1-2010 (2010 edition),11.2.1,OBJ,MOM-EXTENSIONS,The implementation shall permit standard-compatible MOM extension by subclassing or adding attributes without changing standard MOM definitions.,extension FOM validation test,tests/factories/test_fom_omt_parsing.py::test_merge_allows_extending_standard_mom_classes_with_subclasses_and_attributes;tests/factories/test_fom_omt_parsing.py::test_merge_allows_extending_standard_mom_classes_with_subclasses_and_attributes,mapped,mom_catalog,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
HLA1516.1-MOM-11_2_1-OBJ-009,HLA1516.1-MOM-11.2.1-002,IEEE 1516.1-2010 (2010 edition),11.2.1,OBJ,MOM-NO-RTI-SUBSCRIBE-OBJ,The RTI shall not subscribe to standard MOM object classes as an ordinary federate subscriber.,static design review,tests/mom/test_mom_catalog_validation_v012.py::test_mom_runtime_uses_no_hidden_rti_side_subscriptions,mapped,mom_runtime,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
HLA1516.1-MOM-11_2_1-OBJ-010,HLA1516.1-MOM-11.2.1-003,IEEE 1516.1-2010 (2010 edition),11.2.1,OBJ,MOM-NO-DIVEST,The RTI shall not divest ownership of the standard attributes of its MOM object instances.,ownership negative test,tests/mom/test_mom_catalog_validation_v012.py::test_mom_internal_object_instances_remain_rti_owned_without_non_rti_attribute_owners,mapped,mom_runtime,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
HLA1516.1-MOM-11_3-INT-011,HLA1516.1-MOM-11.3-001,IEEE 1516.1-2010 (2010 edition),11.3,INT,MOM-INTERACTION-ROLES,"The RTI shall implement MOM interaction roles for requests, reports, adjustments, and service invocations according to the standard MOM interaction hierarchy.",MOM interaction integration test,tests/mom/test_mom_catalog_validation_v012.py::test_mom_catalog_is_derived_from_standard_mim_and_exposes_validation_matrix,mapped,mom_runtime,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
HLA1516.1-MOM-11_3-INT-012,HLA1516.1-MOM-11.3-003;HLA1516.1-MOM-11.3-004,IEEE 1516.1-2010 (2010 edition),11.3,INT,MOM-REQUEST-REPORT,"When a valid MOM request interaction is received, the RTI shall generate the corresponding MOM report interaction where the standard defines a report response.",request/report integration test,tests/verification/test_mom_observer_slice_v013.py::test_mom_observer_slice_reconstructs_mim_request_report_exchange;tests/mom/test_mom_catalog_validation_v012.py::test_mom_report_payload_uses_exact_mim_catalog_parameters,mapped,mom_reporting,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
HLA1516.1-MOM-11_3-INT-013,HLA1516.1-MOM-11.3-002,IEEE 1516.1-2010 (2010 edition),11.3,INT,MOM-ADJUSTMENT,"When a valid MOM adjustment interaction is received, the RTI shall adjust the corresponding MOM reporting or management setting according to the standard semantics.",adjustment interaction test,tests/mom/test_mom_catalog_validation_v012.py::test_strict_mom_rejects_invalid_boolean_payload_and_accepts_valid_service_reporting_adjust,mapped,mom_actions,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
HLA1516.1-MOM-11_3-INT-014,HLA1516.1-MOM-11.3-005,IEEE 1516.1-2010 (2010 edition),11.3,INT,MOM-SERVICE-INVOCATION,"When a valid MOM service interaction requests an HLA service on behalf of a federate and all standard conditions are satisfied, the RTI shall invoke the corresponding service behavior.",service interaction test,tests/mom/test_mom_catalog_validation_v012.py::test_mom_runtime_applies_standard_rti_characteristics_as_one_coherent_contract,mapped,mom_actions,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
HLA1516.1-MOM-11_3_1-INT-015,HLA1516.1-MOM-11.3.1-001,IEEE 1516.1-2010 (2010 edition),11.3.1,INT,MOM-LEAF-PUBLISH,The RTI shall publish standard MOM report interactions at leaf interaction-class level where required.,MOM publication static test,tests/mom/test_mom_catalog_validation_v012.py::test_mom_report_payload_uses_exact_mim_catalog_parameters,mapped,mom_reporting,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
HLA1516.1-MOM-11_3_1-INT-016,HLA1516.1-MOM-11.3.1-002,IEEE 1516.1-2010 (2010 edition),11.3.1,INT,MOM-IGNORE-EXT-PARAMS,The RTI shall ignore nonstandard added parameters in received MOM interactions when processing the standard MOM portion of the interaction.,extension compatibility test,tests/mom/test_mom_catalog_validation_v012.py::test_mom_receive_path_ignores_added_nonstandard_parameters_in_non_strict_mode,mapped,mom_actions,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
HLA1516.1-MOM-11_4-RTI-017,HLA1516.1-MOM-11.4-001;HLA1516.1-MOM-11.4.1-005;HLA1516.1-MOM-11.4.1-006;HLA1516.1-MOM-11.4.1-008;HLA1516.1-MOM-11.4.1-009,IEEE 1516.1-2010 (2010 edition),11.4,RTI,MOM-RTI-CHARACTERISTICS,The RTI shall apply the MOM-specific RTI characteristics defined by the standard rather than treating itself as a normal joined federate.,requirements review,tests/mom/test_mom_catalog_validation_v012.py::test_mom_runtime_applies_standard_rti_characteristics_as_one_coherent_contract;tests/mom/test_mom_catalog_validation_v012.py::test_mom_runtime_does_not_join_as_time_managed_federate;tests/mom/test_mom_catalog_validation_v012.py::test_mom_internal_traffic_uses_receive_order_reliable_transport_and_no_time_metadata;tests/mom/test_mom_catalog_validation_v012.py::test_mom_classes_reject_ddm_region_services,mapped,mom_runtime,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,"Current repo-native MOM runtime tests directly prove the RTI-specific Clause 11 characteristics as one coherent contract: no RTI-side joined federate, no hidden subscriptions, receive-order reliable MOM traffic without time metadata, and DDM rejection for MOM classes."
HLA1516.1-MOM-11_4_1-RTI-018,HLA1516.1-MOM-11.4.1-001;HLA1516.1-MOM-11.4.1-002;HLA1516.1-MOM-11.4.1-003,IEEE 1516.1-2010 (2010 edition),11.4.1,RTI,MOM-PUBLISH-REQUIRED,The RTI shall publish all standard MOM leaf object and interaction classes designated as RTI-published.,MIM publication static test,tests/mom/test_mom_catalog_validation_v012.py::test_mom_catalog_is_derived_from_standard_mim_and_exposes_validation_matrix,mapped,mom_runtime,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
HLA1516.1-MOM-11_4_1-RTI-019,HLA1516.1-MOM-11.4.1-004,IEEE 1516.1-2010 (2010 edition),11.4.1,RTI,MOM-SUBSCRIBE-REQUIRED,The RTI shall subscribe to standard MOM leaf interaction classes designated as RTI-subscribed.,MIM subscription static test,tests/mom/test_mom_catalog_validation_v012.py::test_mom_catalog_is_derived_from_standard_mim_and_exposes_validation_matrix,mapped,mom_runtime,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
HLA1516.1-MOM-11_4_1-RTI-020,HLA1516.1-MOM-11.4.1-005,IEEE 1516.1-2010 (2010 edition),11.4.1,RTI,MOM-NOT-TIME-MANAGED,The RTI shall be neither time-regulating nor time-constrained for MOM traffic.,MOM time-state negative test,tests/mom/test_mom_catalog_validation_v012.py::test_mom_runtime_does_not_join_as_time_managed_federate,mapped,mom_runtime,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
HLA1516.1-MOM-11_4_1-RTI-021,HLA1516.1-MOM-11.4.1-006,IEEE 1516.1-2010 (2010 edition),11.4.1,RTI,MOM-NO-TIMESTAMPS,The RTI shall not provide timestamps or retraction handles for MOM messages unless a standard-specific exception applies.,MOM timestamp negative test,tests/mom/test_mom_catalog_validation_v012.py::test_mom_internal_traffic_uses_receive_order_reliable_transport_and_no_time_metadata,mapped,mom_runtime,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
HLA1516.1-MOM-11_4_1-RTI-022,HLA1516.1-MOM-11.4.1-009,IEEE 1516.1-2010 (2010 edition),11.4.1,RTI,MOM-NO-DDM,The RTI shall not use DDM services with MOM except where the standard specifically defines DDM use.,MOM DDM negative test,tests/mom/test_mom_catalog_validation_v012.py::test_mom_classes_reject_ddm_region_services,mapped,mom_runtime,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
HLA1516.1-MOM-11_4_1-RTI-023,HLA1516.1-MOM-11.4.1-008,IEEE 1516.1-2010 (2010 edition),11.4.1,RTI,MOM-NO-ORDER-TRANSPORT-CHANGE,The RTI shall not modify the standard transportation or order type of MOM attributes or interactions.,MIM static validation,tests/mom/test_mom_catalog_validation_v012.py::test_mom_internal_traffic_uses_receive_order_reliable_transport_and_no_time_metadata,mapped,mom_runtime,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
HLA1516.1-MOM-11_5-SRV-024,HLA1516.1-MOM-11.5-002,IEEE 1516.1-2010 (2010 edition),11.5,SRV,MOM-SERVICE-REPORTING-SWITCH,The RTI shall determine service-reporting behavior for each federate from the applicable MOM service-reporting switch state.,service reporting switch test,tests/mom/test_mom_catalog_validation_v012.py::test_strict_mom_rejects_invalid_boolean_payload_and_accepts_valid_service_reporting_adjust,mapped,mom_reporting,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
HLA1516.1-MOM-11_5-SRV-025,HLA1516.1-MOM-11.5-001,IEEE 1516.1-2010 (2010 edition),11.5,SRV,MOM-SERVICE-REPORTS,"When service reporting is enabled, the RTI shall send standard MOM service-invocation reports for reportable HLA service invocations.",service report integration test,tests/time/test_mom_mim_time_management_v010.py::test_service_reporting_switch_exposes_service_invocation_reports;tests/verification/test_mom_observer_slice_v013.py::test_mom_observer_slice_reconstructs_service_invocation_reporting,mapped,mom_reporting,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
HLA1516.1-MOM-11_5-SRV-026,HLA1516.1-MOM-11.5-004;HLA1516.1-MOM-11.5-003,IEEE 1516.1-2010 (2010 edition),11.5,SRV,MOM-EXCEPTION-REPORTS,"When exception reporting is enabled, the RTI shall report standard MOM exception information for reportable service failures.",exception report integration test,tests/mom/test_mom_catalog_validation_v012.py::test_rejected_mom_adjustment_emits_exception_but_not_service_invocation_report;tests/verification/test_compliance_slice_v011.py::test_mom_set_switches_service_reporting_conflict_is_reported,mapped,mom_reporting,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
HLA1516.1-MOM-11_6-TABLE-027,HLA1516.1-MOM-11.6-001,IEEE 1516.1-2010 (2010 edition),11.6,TABLE,MOM-OMT-TABLES,The standard MOM OMT tables shall be present in compliant FOM/FDD representations and shall be loaded as part of the effective federation model.,MIM/FDD static validation,tests/factories/test_fom_omt_parsing.py::test_merge_with_standard_mim_preserves_mom_table_definitions_without_alteration,mapped,mom_catalog,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
